#U fC  << this is the unit 
#             eta             phi             dep             det     cap0     cap1     cap2     cap3 widthcap0 widthcap1 widthcap2 widthcap3      DetId
               -1               1             -99          ZDC_EM 120.90000 120.90000 120.90000 120.90000 173.60001 173.60001 173.60001 173.60001   54000111
               -1               2             -99          ZDC_EM 118.20000 118.20000 118.20000 118.20000 161.39999 161.39999 161.39999 161.39999   54000112
               -1               3             -99          ZDC_EM 265.39999 265.39999 265.39999 265.39999 425.89999 425.89999 425.89999 425.89999   54000113
               -1               4             -99          ZDC_EM 113.60000 113.60000 113.60000 113.60000 165.20000 165.20000 165.20000 165.20000   54000114
               -1               5             -99          ZDC_EM 126.10000 126.10000 126.10000 126.10000 196.00000 196.00000 196.00000 196.00000   54000115
               -1               1             -99         ZDC_HAD 181.39999 181.39999 181.39999 181.39999 252.00000 252.00000 252.00000 252.00000   54000121
               -1               2             -99         ZDC_HAD 143.10001 143.10001 143.10001 143.10001 199.50000 199.50000 199.50000 199.50000   54000122
               -1               3             -99         ZDC_HAD 136.80000 136.80000 136.80000 136.80000 187.60001 187.60001 187.60001 187.60001   54000123
               -1               4             -99         ZDC_HAD 127.70000 127.70000 127.70000 127.70000 183.60001 183.60001 183.60001 183.60001   54000124
                1               1             -99          ZDC_EM 136.70000 136.70000 136.70000 136.70000 170.70000 170.70000 170.70000 170.70000   54000151
                1               2             -99          ZDC_EM 91.01000 91.01000 91.01000 91.01000 112.90000 112.90000 112.90000 112.90000   54000152
                1               3             -99          ZDC_EM 148.00000 148.00000 148.00000 148.00000 198.30000 198.30000 198.30000 198.30000   54000153
                1               4             -99          ZDC_EM 78.60000 78.60000 78.60000 78.60000 95.61000 95.61000 95.61000 95.61000   54000154
                1               5             -99          ZDC_EM 144.60001 144.60001 144.60001 144.60001 193.80000 193.80000 193.80000 193.80000   54000155
                1               1             -99         ZDC_HAD 54.67000 54.67000 54.67000 54.67000 62.62000 62.62000 62.62000 62.62000   54000161
                1               2             -99         ZDC_HAD 47.52000 47.52000 47.52000 47.52000 55.46000 55.46000 55.46000 55.46000   54000162
                1               3             -99         ZDC_HAD 60.92000 60.92000 60.92000 60.92000 72.37000 72.37000 72.37000 72.37000   54000163
                1               4             -99         ZDC_HAD 64.96000 64.96000 64.96000 64.96000 81.59000 81.59000 81.59000 81.59000   54000164
               -1               1             -99         ZDC_RPD 91.09000 91.09000 91.09000 91.09000 124.70000 124.70000 124.70000 124.70000   54000180
               -1               2             -99         ZDC_RPD 78.96000 78.96000 78.96000 78.96000 113.20000 113.20000 113.20000 113.20000   54000181
               -1               3             -99         ZDC_RPD 72.24000 72.24000 72.24000 72.24000 97.31000 97.31000 97.31000 97.31000   54000182
               -1               4             -99         ZDC_RPD 80.10000 80.10000 80.10000 80.10000 110.10000 110.10000 110.10000 110.10000   54000183
               -1               5             -99         ZDC_RPD 102.30000 102.30000 102.30000 102.30000 144.89999 144.89999 144.89999 144.89999   54000184
               -1               6             -99         ZDC_RPD 91.76000 91.76000 91.76000 91.76000 127.20000 127.20000 127.20000 127.20000   54000185
               -1               7             -99         ZDC_RPD 97.17000 97.17000 97.17000 97.17000 139.00000 139.00000 139.00000 139.00000   54000186
               -1               8             -99         ZDC_RPD 134.89999 134.89999 134.89999 134.89999 190.70000 190.70000 190.70000 190.70000   54000187
               -1               9             -99         ZDC_RPD 144.30000 144.30000 144.30000 144.30000 207.39999 207.39999 207.39999 207.39999   54000188
               -1              10             -99         ZDC_RPD 123.90000 123.90000 123.90000 123.90000 179.10001 179.10001 179.10001 179.10001   54000189
               -1              11             -99         ZDC_RPD 129.20000 129.20000 129.20000 129.20000 185.20000 185.20000 185.20000 185.20000   5400018A
               -1              12             -99         ZDC_RPD 140.60001 140.60001 140.60001 140.60001 202.39999 202.39999 202.39999 202.39999   5400018B
               -1              13             -99         ZDC_RPD 78.42000 78.42000 78.42000 78.42000 105.60000 105.60000 105.60000 105.60000   5400018C
               -1              14             -99         ZDC_RPD 84.01000 84.01000 84.01000 84.01000 113.90000 113.90000 113.90000 113.90000   5400018D
               -1              15             -99         ZDC_RPD 69.50000 69.50000 69.50000 69.50000 92.76000 92.76000 92.76000 92.76000   5400018E
               -1              16             -99         ZDC_RPD 67.18000 67.18000 67.18000 67.18000 87.82000 87.82000 87.82000 87.82000   5400018F
                1               1             -99         ZDC_RPD 55.32000 55.32000 55.32000 55.32000 116.30000 116.30000 116.30000 116.30000   540001C0
                1               2             -99         ZDC_RPD 45.91000 45.91000 45.91000 45.91000 119.00000 119.00000 119.00000 119.00000   540001C1
                1               3             -99         ZDC_RPD 36.20000 36.20000 36.20000 36.20000 45.24000 45.24000 45.24000 45.24000   540001C2
                1               4             -99         ZDC_RPD 38.67000 38.67000 38.67000 38.67000 76.88000 76.88000 76.88000 76.88000   540001C3
                1               5             -99         ZDC_RPD 38.23000 38.23000 38.23000 38.23000 88.19000 88.19000 88.19000 88.19000   540001C4
                1               6             -99         ZDC_RPD 36.85000 36.85000 36.85000 36.85000 74.40000 74.40000 74.40000 74.40000   540001C5
                1               7             -99         ZDC_RPD 32.18000 32.18000 32.18000 32.18000 66.26000 66.26000 66.26000 66.26000   540001C6
                1               8             -99         ZDC_RPD 35.90000 35.90000 35.90000 35.90000 59.59000 59.59000 59.59000 59.59000   540001C7
                1               9             -99         ZDC_RPD 34.93000 34.93000 34.93000 34.93000 70.50000 70.50000 70.50000 70.50000   540001C8
                1              10             -99         ZDC_RPD 36.02000 36.02000 36.02000 36.02000 72.09000 72.09000 72.09000 72.09000   540001C9
